brand;tgl;short_code;outlet_name;region_name;sub_area_name;sales_area_name;micro_cluster_name;cso_code;latitude;longitude;mobo_balance
3ID;2026-08-23;00275601;M CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4652531;112.682956;180691
3ID;2026-08-23;00047312;FERA CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.5229584;112.670437;504483
3ID;2026-08-23;00510741;Jull Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.4919586;112.7000516;132522
3ID;2026-08-23;00106083;RAHMA CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.4876607;112.6918318;569618
3ID;2026-08-23;00520049;BERLIAN CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.5167198;112.6849367;318046
3ID;2026-08-23;00158627;Master Pulsa;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4839549;112.7400283;1176565
3ID;2026-08-23;12328059;UUT Cel;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4815861;112.7191984;100510
3ID;2026-08-23;00570481;adul jati cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4499101;112.6935294;201841
3ID;2026-08-23;00248373;Hr cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4819222;112.7359846;1135692
3ID;2026-08-23;00106081;TIGA SAUDARA CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4937711;112.7064935;2080143
3ID;2026-08-23;00106081;TIGA SAUDARA CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;2613051646;-7.4937711;112.7064935;2080143
3ID;2026-08-23;00233757;mietha2 cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4558116;112.6779789;339028
3ID;2026-08-23;00264729;Gatra Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.5176529;112.6878156;5196
3ID;2026-08-23;00265307;jijah cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.482109;112.719493;383913
